Suggested item,Group,Styles using,Trim lines merged,New Sage code,Unit cost (GBP)
Oh centre fold label,Labels & branding,13,1,LABELOH5771,0.04335
Oh label,Labels & branding,27,5,,
Oh label printed at tibard,Labels & branding,1,1,,
Oh woven label,Labels & branding,53,10,,
Oliver harvey label,Labels & branding,1,1,,
Oliver harvey woven label,Labels & branding,34,8,,
Printed size label,Labels & branding,1,1,,
Red oh label,Labels & branding,15,3,,
Size label,Labels & branding,8,2,,
Additional label,Care / wash labels,17,1,,
Additional printed care label,Care / wash labels,3,1,,
Care label,Care / wash labels,24,16,,
Care label printed at tibard (gails printer),Care / wash labels,7,3,,
Care label- printed at tibard,Care / wash labels,1,1,,
Label for garment name and manufacturing month and year only - behind wash label in side seam,Care / wash labels,1,1,,
Oh care label,Care / wash labels,68,50,,
Oliver harvey - care label,Care / wash labels,2,2,,
Oliver harvey care label,Care / wash labels,34,16,,
Printed label - iron on reverse,Care / wash labels,1,1,,
Product code label,Care / wash labels,9,1,,
Wash,Care / wash labels,5,5,,
Interlining,Interlinings,6,1,,
Black polypropylene webbing 25mm cmp-web-pu-25-03,Webbing,1,1,CMP-WEB-PU-25-03,0.0642
Bottle green polypropylene webbing 25mm cmp-web-pu-25-24,Webbing,1,1,CMP-WEB-PU-25-24,0.0931
Brown polypropylene webbing 25mm cmp-web-pu-25-82,Webbing,1,1,CMP-WEB-PU-25-82,0.0931
Burgundy polypropylene webbing 25mm cmp-web-pu-25-06,Webbing,1,1,CMP-WEB-PU-25-06,0.0931
Dark grey polypropylene webbing 25mm cmp-web-pu-25-14,Webbing,1,1,CMP-WEB-PU-25-14,0.0931
Navy polypropylene webbing 25mm cmp-web-pu-25-15,Webbing,1,1,CMP-WEB-PU-25-15,0.0931
Olive polypropylene webbing 25mm cmp-web-pu-25-83,Webbing,1,1,CMP-WEB-PU-25-83,0.0931
Pink polypropylene webbing 25mm cmp-web-pu-25-04,Webbing,1,1,CMP-WEB-PU-25-04,0.0931
Rainbow polypropylene webbing 25mm cmp-web-pu-25-921,Webbing,1,1,CMP-WEB-PU-25-921,0.0931
Sand polypropylene webbing 25mm cmp-web-pu-25-131,Webbing,1,1,CMP-WEB-PU-25-131,0.0931
Silver grey polypropylene webbing 25mm cmp-web-pu-25-286,Webbing,1,1,CMP-WEB-PU-25-286,0.0931
White polypropylene webbing 25mm cmp-web-pu-25-01,Webbing,1,1,CMP-WEB-PU-25-01,0.0931
Yellow polypropylene webbing 25mm cmp-web-pu-25-11,Webbing,1,1,CMP-WEB-PU-25-11,0.0931
Glassine peel & seal biodegradable bag (68x92cm),Packaging,14,2,PKG-BAG-GLA-68x92-PS,0.09686
Antique brass 15mm cap (parts a and b),Other,13,1,,
Oliver harvey,Other,1,1,,
